ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
共作,トモサク
agnostic,アグノストアイシー
フリットレベル,フリットレベル
keynoteat,キーノートアット
onthe future,オンザフューチャー
HPCand,エイチピーシーアンド
andbig,アンドビッグ
シャーシあたり,シャーシアタリ
あたり銅,アタリドウ
光比率,ヒカリヒリツ
銅線,ドウセン
信号劣化,シンゴウレッカ
エネルギー一定,エネルギーイッテイ
基盤距離,キバンキョリ
HDDストレージ,エッチディーディーストレージ
光バックプレーン,ヒカリバックプレーン
デザインスタディ,デザインスタディ
年前,ネンマエ
前辺り,マエアタリ
近接系,キンセツケイ
EO変換,イーオーヘンカン
Open SourceGPU,オープンソースジーピーユー
Interconnect,インテルコネクト
GSIon,ジーエスアイオン
CSCCluster,シーエスシークラスター
thenumber,ザナンバー
inthe,インザ
シリコン製,シリコンセイ
論理回路密着,ロンリカイロミッチャク
密着型,ミッチャクガタ
型チップ,ガタチップ
直接積層,チョクセツセキソウ
高性能化,コウセイノウカ
アーキテクチャ依存,アーキテクチャイゾン
性能ポータビリティ,セイノウポータビリティ
昇圧回路,ショウアツカイロ
R1R,アールワンラウンド
海外ニュース,カイガイニュース
秒読み段階,ビョウヨミダンカイ
広帯域メモリ,コウタイイキメモリ
onReRAM,オンアールイーラム
3DRRAM,スリーディーアールラム
TBon,ザイムショウタンキショウケンオン
ona,オンアール
achip,アールチップ
networksin,ネットワークスイン
inC++,インシープラスプラス
amon,エーエムオン
ona,オンアール
aplane,アールプレーン
planefor,プレーンフォー
forTaiwan,フォータイワン
Taiwanand,タイワンアンド
andstill,アンドスティル
atthe c,エーティーザシー
indetail,インディテール
itfor,アイティーフォー
atSC,エーティーエスシィ
2Dメッシュ,ツーディーメッシュ
メッシュ採用,メッシュサイヨウ
2014年6月26日,ニセンジュウヨネンロクガツニジュウロクニチ
NOCS14,エヌオーシーエスイチヨン
S14キーノート,エスイチヨンキーノート
関連情報,カンレンジョウホウ
トンネル電界効果トランジスタ,トンネルデンカイコウカトランジスタ
博士取って,ハカセトッテ
取って有名,トッテユウメイ
有名処,ユウメイショ
処ろ,ショロ
大手企業,オオテキギョウ
その後スタートアップ,ソノゴスタートアップ
研究者,ケンキュウシャ
工学系,コウガクケイ
研究者,ケンキュウシャ
研究者,ケンキュウシャ
事業化,ジギョウカ
スタートアップ願望,スタートアップガンボウ
研究者,ケンキュウシャ
研究者,ケンキュウシャ
者願望,シャガンボウ
人が問題,ジンガモンダイ
スタートアップ系,スタートアップケイ
それ誰,ソレダレ
ユーザーベネフィット,ユーザーベネフィット
ベネフィットあん,ベネフィットアン
起点じゃなくて,キテンジャナクテ
IoT系,アイオーティーケイ
人工冬眠,ジンコウトウミン
普通会話,フツウカイワ
会話AI,カイワアイ
録画テレビ,ロクガテレビ
テレビ会話,テレビカイワ
年近く,ネンチカク
近く前,チカクマエ
驚異的,キョウイテキ
都市OS,トシオンスカ
OSプラットフォーム,オンスカプラットフォーム
都市OS,トシオーエス
数学アルゴリズム,スウガクアルゴリズム
最適化,サイテキカ
町山氏,マチヤマシ
ノーラン監督,ノーランカントク
アポロ時代,アポロジダイ
CG全盛,シージーゼンセイ
映画界,エイガカイ
ミリフィルム,ミリフィルム
ドッキングシーン,ドッキングシーン
卒論発表,ソツロンハッピョウ
みんな質疑応答,ミンナシツギオウトウ
質問内容,シツモンナイヨウ
意思疎通,イシソツウ
一番大事,イチバンダイジ
皆日本,ミナニッポン
受験制度,ジュケンセイド
研究者,ケンキュウシャ
プレゼン能力,プレゼンノウリョク
表層的,ヒョウソウテキ
技術内容,ギジュツナイヨウ
forthe,フォーザ
theseason,ザシーズン
ableto,エイブルトゥ
todo,トゥドー
doas,ドーアズ
asa,アズアール
arestill,アレスティル
stillplenty,スティルプレンティ
パラメータチューニング,パラメータチューニング
一般向け,イッパンムケ
デタラメ記事,デタラメキジ
人向け,ヒトムケ
ところ誰,トコロダレ
supercomputer,スーパーコンピューター
給与表,キュウヨヒョウ
トップ研究,トップケンキュウ
研究者,ケンキュウシャ
何名,ナンメイ
時間以上,ジカンイジョウ
以上勤務,イジョウキンム
時間勤務,ジカンキンム
万以下,マンイカ
制度上,セイドジョウ
上可能,ジョウカノウ
情報系,ジョウホウケイ
受賞者,ジュショウシャ
学術分野,ガクジュツブンヤ
最終到達,サイシュウトウタツ
到達点,トウタツテン
ここ狙い,ココネライ
本来本学,ホンライホンガク
ポスドク雇用,ポスドクコヨウ
大学レベル,ダイガクレベル
人事課,ジンジカ
基準賃金,キジュンチンギン
基本年,キホンネン
万未満,マンミマン
世間常識,セケンジョウシキ
若手研究,ワカテケンキュウ
研究者,ケンキュウシャ
雇用改善,コヨウカイゼン
大岡山通信,オオオカヤマツウシン
通信若者たち,ツウシンワカモノタチ
研究者,ケンキュウシャ
発想理研,ハッソウリケン
榎木英介,エノキエイスケ
全部一般会計,ゼンブイッパンカイケイ
一例,イチレイ
国立大学特別会計,コクリツダイガクトクベツカイケイ
全国共同利用,ゼンコクキョウドウリヨウ
共同利用施設,キョウドウリヨウシセツ
分割法人化,ブンカツホウジンカ
ハイエンドサーバー,ハイエンドサーバー
Itanium全廃,アイテニアムゼンパイ
atthe,アットザ
後半戦,コウハンセン
血涙CUDA,ケツルイクーダ
政治雑誌,セイジザッシ
若手記者,ワカテキシャ
取材相手,シュザイアイテ
配偶者様,ハイグウシャサマ
参加型,サンカガタ
将来自分,ショウライジブン
４割,ヨンワリ
研究開発力,ケンキュウカイハツリョク
将来予定,ショウライヨテイ
製品群,セイヒングン
HPC業界,エイチピーシーギョウカイ
転職組,テンショクグミ
EDAExpress,イーディーエーエクスプレス
経営力,ケイエイリョク
米企業,ベイキギョウ
人規模,ニンキボ
Newpost,ニューポスト
スーパーコンピュータメーカー,スーパーコンピュータメーカー
調査結果,チョウサケッカ
Youtu,ヨーウツ
utube...,ウツビー
米企業,ベイキギョウ
人規模,ニンキボ
japanさん,ジャパンサン
史上最年少,シジョウサイネンショウ
マララ・ユスフザイさん,マララユスフザイサン
子どもたち,コドモタチ
高い教育,コウイキョウイク
松岡先生,マツオカセンセイ
来年発売,ライネンハツバイ
TrinityNYC,トリニティエヌワイシー
thenew era,ザニューエラ
来年発売,ライネンハツバイ
TrinityNYC,トリニティエヌワイシー
イスラエル映画,イスラエルエイガ
映画館,エイガカン
大学教授,ダイガクキョウジュ
教授同士,キョウジュドウシ
研究者,ケンキュウシャ
研究者,ケンキュウシャ
toa,トゥアール
theSky,ザスカイ
Skyon,スカイオン
onthe,オンザ
theBlue Gene,ザブルージーン
一緒に出演,イッショニシュツエン
四人,ヨンニン
片岡さん,カタオカサン
みんな大学,ミンナダイガク
大学以外,ダイガクイガイ
高橋和己,タカハシカズミ
ビジネス経験,ビジネスケイケン
人や官僚,ヒトヤカンリョウ
ほか多く,ホカオオク
先生たち,センセイタチ
世間知らず,セケンシラズ
センター群,センターグン
研究者,ケンキュウシャ
者交流,シャコウリュウ
研究者,ケンキュウシャ
者コミュニティ,シャコミュニティ
北森瓦版,キタモリカワラバン
ArchiveHDD,アーカイブエッチディーディー
AVX-5,エイブイエックスファイブ
冥王星探査,メイオウセイタンサ
探査本番,タンサホンバン
LLVM周辺,エルエルブイエムシュウヘン
以前破産,イゼンハサン
コンパイラメーカー,コンパイラメーカー
共同設立者,キョウドウセツリツシャ
HiroshiAmano,ヒロシアマノ
KasumiAmano,カスミアマノ
映画史上,エイガシジョウ
毎回堪能,マイカイタンノウ
記憶違い,キオクチガイ
キップ・ソーン氏,キップソーンシ
スペシャル映像,スペシャルエイゾウ
2014年11月22日,ニセンジュウヨネンジュウイチガツニジュウニニチ
11月22日公開,ジュウイチガツニジュウニニチコウカイ
スパム報告,スパムホウコク
presenting,プレゼントアイエヌジー
ingpaper,アイエヌジーペーパー
paperat,ペーパーアット
andmy,アンドマイ
高機能,ダカキノウ
機能性,キノウセイ
性液体,セイエキタイ
YouTubeトピック,ユーチューブトピック
forDeep,フォーディープ
若手研究,ワカテケンキュウ
研究者,ケンキュウシャ
雇用改善,コヨウカイゼン
千人,センニン
組織票,ソシキヒョウ
近代教育,キンダイキョウイク
中等高等教育,チュウトウコウトウキョウイク
文系理系,ブンケイリケイ
頭脳王,ズノウオウ
大学入試,ダイガクニュウシ
入試程度,ニュウシテイド
大学入試問題,ダイガクニュウシモンダイ
HPCvia,エイチピーシービア
視覚効果,シカクコウカ
本格シミュレーション,ホンカクシミュレーション
展開レポート,テンカイレポート
HP絡み,エイチピーガラミ
一人,イチニン
特撮チーム,トクサツチーム
視覚化,シカクカ
科学的,カガクテキ
的成果,テキセイカ
データ量,データリョウ
ペタバイト近く,ペタバイトチカク
ネタバレ注意,ネタバレチュウイ
点5つ,テンイツツ
きのうレイトショー,キノウレイトショー
先日決定,センジツケッテイ
DOECORAL,ドーコーラル
来年3月17日,ライネンサンガツジュウシチニチ
回全国大会,カイゼンコクタイカイ
受賞記念,ジュショウキネン
特別講演,トクベツコウエン
松岡先生,マツオカセンセイ
賞受賞,ショウジュショウ
受賞記念,ジュショウキネン
記念講演,キネンコウエン
tothe family,トゥザファミリー
spacerobots,スペースロボッツ
theH2,ザエイチツー
andseparation,アンドセパレーション
暦本さん,レキホンサン
年前,ネンマエ
ヘッドギア装着,ヘッドギアソウチャク
CSファーン,シーエスファーン
ファーンバック,ファーンバック
バック賞,バックショウ
記念講演,キネンコウエン
大変光栄,タイヘンコウエイ
CPU設計,シーピーユーセッケイ
設計責任者,セッケイセキニンシャ
一人として,イチヒトトシテ
人として活躍,ヒトトシテカツヤク
安藤氏,アンドウシ
CSファーン,シーエスファーン
ファーンバック,ファーンバック
バック賞,バックショウ
記念講演,キネンコウエン
大変光栄,タイヘンコウエイ
警視庁犯罪抑止,ケイシチョウハンザイヨクシ
犯罪抑止対策,ハンザイヨクシタイサク
対策本部,タイサクホンブ
本部ツイッターアカウント,ホンブツイッターアカウント
RTTwitter,アールティーツイッター
嫌がらせ対策,イヤガラセタイサク
報告プロセス,ホウコクプロセス
プロセス簡易,プロセスカンイ
簡易化,カンイカ
ブロックリスト,ブロックリスト
リスト追加,リストツイカ
ITmediaニュース,アイティーメディアニュース
嫌がらせ対策,イヤガラセタイサク
報告プロセス,ホウコクプロセス
プロセス簡易,プロセスカンイ
簡易化,カンイカ
ブロックリスト,ブロックリスト
リスト追加,リストツイカ
ITmediaニュース,アイティーメディアニュース
Telepathyone,テレパシーワン
TheEarth,ザアース
Earthto,アーストゥ
tothe,トゥザ
the1999JU3,ザイチキュウキュウキュウジェイユーサン
Canadaand,カナダアンド
andUK,アンドユーケー
UKbest,ユーケーベスト
bestat,ベストアット
公式iphoneアプリ,コウシキアイフォンアプリ
バースト撮影,バーストサツエイ
knownbug,ノウンバグ
現在松岡,ゲンザイマツオカ
鈴村さん,スズムラサン
さんIBM,サンアイビーエム
藤澤さん,フジサワサン
さん九大,サンキュウダイ
共同研究,キョウドウケンキュウ
今年6月,コトシロクガツ
上野君,ウエノクン
ISP2,アイエスピーツー
P2S2,ピーツーエスツー
S2シンポジウム,エスツーシンポジウム
シンポジウムin,シンポジウムイン
in神戸,インコウベ
講演中,コウエンチュウ
コンテナランタイム,コンテナランタイム
ランタイムRocket,ランタイムロケット
定員超過,テイインチョウカ
超過抑制,チョウカヨクセイ
文科省検討,モンカショウケントウ
助成厳格化,ジョセイゲンカクカ
ARMサーバ,アームサーバ
自分達,ジブンタチ
bingアクセラレータ,ビングアクセラレータ
MUSD,メガユーエスダラー
USD位,ユーエスダラーイ
FPGAin,エフピージーエーイン
inDC,インディーシー
Intel資料,インテルシリョウ
and also,アンドエーエルエスオー
lsodirector,エルエスオーダイレクター
usand,アスアンド
onHPC,オンエイチピーシー
Newpost,ニューポスト
紐付け,ヒモヅケ
コンテンツ閲覧,コンテンツエツラン
調査結果,チョウサケッカ
博士後期,ハカセコウキ
後期課程,コウキカテイ
人事システム,ジンジシステム
五神真氏,ゴノカミマコトシ
博士教育改革,ハカセキョウイクカイカク
博士号取得,ハクシゴウシュトク
取得者,シュトクシャ
県外,ケンガイ
研究機関,ケンキュウキカン
一人,イチニン
人あたり,ニンアタリ
Thanksto,サンクストゥ
toall,トゥアルバニアレク
教育分野,キョウイクブンヤ
県立高校,ケンリツコウコウ
採用試験,サイヨウシケン
教員免許不要,キョウインメンキョフヨウ
理系博士号,リケイハクシゴウ
博士号取得,ハクシゴウシュトク
取得者,シュトクシャ
SFファン,エスエフファン
億程度,オクテイド
MS話,エムエスバナシ
何個,ナンコ
万単位,マンタンイ
GS5S,ジーエスゴエス
個バルク,コバルク
最大顧客,サイダイコキャク
inJapan,インジャパン
continueas,コンティニューアズ
asin,アズイン
phoneswill,フォーンズウィル
forthe 20,フォーニジュウニジュウエクスペリエンス
ifhas,イフハス
arevery,アレベリイ
feeand,フィーアンド
domesticaddress,ドメスティックアドレス
inJapan,インジャパン
Japanare,ジャパンアレ
areex,アレイーエックス
expensive,イーエックスペンシブ
toget,トゥゲット
getas,ゲットアズ
onlyat,オンリーエーティー
MBSIM,エムビーエスアイエム
SIMcard,エスアイエムカード
cardnow,カードナウ
nowcomes,ナウカムズ
comeswith,カムズウィズ
witha,ウィズアール
JPYmagazine,エンマガジン
FPGAアクセラレータ,エフピージーエーアクセラレータ
入学許可,ニュウガクキョカ
入試制度,ニュウシセイド
入学許可,ニュウガクキョカ
大学入試,ダイガクニュウシ
ボランティア経験,ボランティアケイケン
貧困地区,ヒンコンチク
gearat,ギアアット
Newpost,ニューポスト
HPC起業家,エイチピーシーキギョウカ
HPCvia,エイチピーシービア
グローバル英語圏,グローバルエイゴケン
競争的,キョウソウテキ
年先,ネンサキ
グローバル英語圏,グローバルエイゴケン
億ドル,オクドル
税収１,ゼイシュウイチ
１年,イチネン
年分,ネンブン
意思疎通,イシソツウ
国立大学入試,コクリツダイガクニュウシ
挑戦回数,チョウセンカイスウ
回数制限,カイスウセイゲン
RT従来,アールティージュウライ
前期型,ゼンキガタ
型試験,ガタシケン
メニーコアシステム,メニーコアシステム
格子アプリケーション,コウシアプリケーション
実行性能,ジッコウセイノウ
性能比較,セイノウヒカク
AO入学,エーオーニュウガク
入学者,ニュウガクシャ
者率,シャリツ
定員確保,テイインカクホ
多く採用,オオクサイヨウ
一般入試,イッパンニュウシ
中心事業,チュウシンジギョウ
中心事業,チュウシンジギョウ
機械学習アクセラレータ,キカイガクシュウアクセラレータ
専用ニューロ,センヨウニューロ
ニューロチップ,ニューロチップ
最大顧客,サイダイコキャク
クラシックベクトル,クラシックベクトル
中心事業,チュウシンジギョウ
当該部分,トウガイブブン
machine learningapplication,マシンラーニングアプリケーション
計算量的,ケイサンリョウテキ
ビッグデータ処理,ビッグデータショリ
場合データ,バアイデータ
メモリ量,メモリリョウ
ビッグデータ処理,ビッグデータショリ
テラバイト程度,テラバイトテイド
テラ級,テラキュウ
本質的,ホンシツテキ
ベクトル技術,ベクトルギジュツ
ビッグデータ市場,ビッグデータシジョウ
利用拡大,リヨウカクダイ
朝日新聞記事,アサヒシンブンキジ
AO入試偏重,エーオーニュウシヘンチョウ
技術立国,ギジュツリッコク
Newsアメリカ,ニュースアメリカ
金持ち偏重,カネモチヘンチョウ
AO入試偏重,エーオーニュウシヘンチョウ
技術立国,ギジュツリッコク
%層,パーセントソウ
比率マップ,ヒリツマップ
独占度,ドクセンド
度高,ドダカ
指摘多謝,シテキタシャ
松岡先生,マツオカセンセイ
AO入試偏重,エーオーニュウシヘンチョウ
技術立国,ギジュツリッコク
立国自殺,リッコクジサツ
階層固定,カイソウコテイ
大学入試,ダイガクニュウシ
人物本位AO,ジンブツホンイエーオー
AO全盛,エーオーゼンセイ
中流的,チュウリュウテキ
経過共,ケイカドモ
階層固定,カイソウコテイ
統計誤差,トウケイゴサ
誤差修正,ゴサシュウセイ
AO入試偏重,エーオーニュウシヘンチョウ
技術立国,ギジュツリッコク
立国自殺,リッコクジサツ
階層固定,カイソウコテイ
AO入試偏重,エーオーニュウシヘンチョウ
技術立国,ギジュツリッコク
HPCvia,エイチピーシービア
withCEA,ウィズシーイーエー
todo,トゥドー
interconnect,インテルコネクト
animpact,アンインパクト
impactin,インパクトイン
inthe,インザ
国立大学受験,コクリツダイガクジュケン
推薦入試,スイセンニュウシ
入試枠,ニュウシワク
Mto,メガトゥ
andCloud,アンドクラウド
RT学力,アールティーガクリョク
人物本位入試,ジンブツホンイニュウシ
官僚たち,カンリョウタチ
教育力,キョウイクリョク
英米化,エイベイカ
大学ランキング,ダイガクランキング
世界最高,セカイサイコウ
最高スパコン,サイコウスパコン
計算密度,ケイサンミツド
松岡先生,マツオカセンセイ
正式授与,セイシキジュヨ
ベル御大,ベルオンタイ
御大自身,オンタイジシン
並列処理,ヘイレツショリ
否定的,ヒテイテキ
今回SC,コンカイエスシィ
小柳先生,コヤナギセンセイ
TMC等,ティーエムシートウ
ドンガラ先生,ドンガラセンセイ
肯定派,コウテイハ
うち歴史,ウチレキシ
チューリング賞受賞,チューリングショウジュショウ
受賞者,ジュショウシャ
アルゴリズム理論,アルゴリズムリロン
理論学者,リロンガクシャ
並列処理,ヘイレツショリ
否定的,ヒテイテキ
アラン・チューリングさん,アランチューリングサン
まじリスペクト,マジリスペクト
チューリング著,チューリングチョ
著1952年,チョセンキュウヒャクゴジュウニネン
三賞受賞,サンショウジュショウ
受賞記念,ジュショウキネン
記念講演,キネンコウエン
後日配信,ゴジツハイシン
過去未来,カコミライ
歳ベル,サイベル
ベル御大,ベルオンタイ
クレイ賞,クレイショウ
賞受賞,ショウジュショウ
取材ネタ,シュザイネタ
ケネディ氏,ケネディシ
ファーンバック,ファーンバック
バック氏,バックシ
講演中,コウエンチュウ
理論系,リロンケイ
ケネディ氏,ケネディシ
自ら提案,ミズカラテイアン
計算機アーキテクト,ケイサンキアーキテクト
ある意味ライバル,アルイミライバル
最高性能,サイコウセイノウ
性能スパコン,セイノウスパコン
速度達成,ソクドタッセイ
受けてたそう,ウケテタソウ
マシンサイズ,マシンサイズ
水曜朝,スイヨウアサ
IEEE学会,アイトリプルイーガッカイ
学会三,ガッカイサン
三賞,サンショウ
記念講演会,キネンコウエンカイ
千人,センニン
講演内容,コウエンナイヨウ
一つ残念,ヒトツザンネン
クレイ賞,クレイショウ
ケネディ賞,ケネディショウ
ファーンバック,ファーンバック
バック氏,バックシ
筧容疑者,カケイヨウギシャ
青木某,アオキボウ
Salt Lake CitySC,ソルトレイクシティーエスシィ
podcastwith,ポッドキャストウィズ
withSatoshi,ウィズサトシ
forthe,フォーザ
裏取り,ウラトリ
取り取材,トリシュザイ
情報多謝,ジョウホウタシャ
特命委員,トクメイイイン
論文PDF,ロンブンピーディーエフ
これTSUBAME,コレツバメ
計測ツール,ケイソクツール
ツール周り,ツールマワリ
thatthe,ザットザ
tothe,トゥザ
thespirit,ザスピリット
記事訂正,キジテイセイ
世界２,セカイニ
２位,ニイ
１秒,イチビョウ
４６,ヨンロク
６１,ロクイチ
１兆,イチチョウ
兆回,チョウカイ
回計算,カイケイサン
国内IT,コクナイアイティー
ITメディア,アイティーメディア
QT東工大,キューティトウコウダイ
松岡教授,マツオカキョウジュ
ファーンバック,ファーンバック
バック記念,バックキネン
記念賞,キネンショウ
賞受賞,ショウジュショウ
松岡聡教授,マツオカサトシキョウジュ
ARMベース,アームベース
サーバー向け,サーバームケ
向けSoC,ムケエスオーシー
SoC市場,エスオーシーシジョウ
presenting,プレゼントアイエヌジー
paperon,ペーパーオン
placenetworks,プレースネットワークス
networksthat,ネットワークスザット
fora,フォーアール
designed,デザインイーディー
edlike,イーディーライク
likecell,ライクセル
cellphones,セルフォーンズ
thechoice,ザチョイス
choicewas,チョイスワイドエリアサーチ
松岡先生,マツオカセンセイ
世界中誰,セカイジュウダレ
andat,アンドアット
atthe,アットザ
theIEEE,ザアイトリプルイー
Thanksnow,サンクスナウ
this,トンヒズ
firstwith,ファーストウィズ
talkat,トークアット
atthe,アットザ
toMT,トゥエムティー
openingSC,オープニングエスシィ
ボード群,ボードグン
マイクロサーバ,マイクロサーバ
コンセプトプロトタイプ,コンセプトプロトタイプ
TokyoTech,トウキョウテック
interviewwith,インタビューウィズ
withfor,ウィズフォー
foran,フォーアン
NYCwill,エヌワイシーウィル
gigabitWiFi,ギガビットワイファイ
WiFiin,ワイファイイン
Newpost,ニューポスト
GDDR5DRAM,ファイブディーラム
DRAMin,ディーラムイン
WishKFC,ウィッシュケーエフシー
andcool,アンドクール
Thetop,ザティーオーピー
HPCvia,エイチピーシービア
oldfriend,オールドフレンド
friendand,フレンドアンド
andleader,アンドリーダー
talkat,トークアット
atthe,アットザ
theJapanese,ザジャパニーズ
JapaneseHPC,ジャパニーズエイチピーシー
ifJapan,イフジャパン
byone,ビーワイワン
oneplace,ワンプレイス
th.,トンエイチ
isout,アイエスアウト
verylittle,ベリイリトル
littlehas,リトルハス
JapaneseHPC,ジャパニーズエイチピーシー
JapaneseHPC,ジャパニーズエイチピーシー
educational,エデュケーションアル
JapaneseResearch,ジャパニーズリサーチ
JapaneseHPC,ジャパニーズエイチピーシー
研究発表,ケンキュウハッピョウ
発表スライド,ハッピョウスライド
教育用,キョウイクヨウ
JapaneseResearch,ジャパニーズリサーチ
WillEnable,ウィルエネイブル
基本博士,キホンハカセ
博士課程,ハカセカテイ
本質的,ホンシツテキ
近視眼的,キンシガンテキ
イノベーションモドキ,イノベーションモドキ
共同歩,キョウドウフ
歩長,フチョウ
の主要,ノシュヨウ
主要アーキ,シュヨウアーキ
計算環境,ケイサンカンキョウ
開発中,カイハツチュウ
なのは実質,ナノハジッシツ
実質内部,ジッシツナイブ
基礎研究機関,キソケンキュウキカン
IBM的,アイビーエムテキ
的体制,テキタイセイ
競争的,キョウソウテキ
的段階,テキダンカイ
五年,ゴネン
本質的,ホンシツテキ
生活臭研究,セイカツシュウケンキュウ
潜在性,センザイセイ
RT例,アールティーレイ
研究的,ケンキュウテキ
的イノベーション,テキイノベーション
患者さん,カンジャサン
松岡先生,マツオカセンセイ
先生レベル,センセイレベル
賞記念,ショウキネン
記念講演,キネンコウエン
一見ヘンチクリン,イッケンヘンチクリン
サイエンス中心,サイエンスチュウシン
単純踏襲,タンジュントウシュウ
旧型ベクトル,キュウガタベクトル
ベクトルマンセー,ベクトルマンセー
杓子定規的,シャクシジョウギテキ
近視眼的,キンシガンテキ
万ユーザー,マンユーザー
教養教育,キョウヨウキョウイク
創造性,ソウゾウセイ
Mfor,メガフォー
forDOE,フォードー
人生初,ジンセイハツ
歳以上,サイイジョウ
一月以上,イチガツイジョウ
長期入院,チョウキニュウイン
診断治療,シンダンチリョウ
治療薬剤,チリョウヤクザイ
薬剤費,ヤクザイヒ
入院費,ニュウインヒ
一割,イチワリ
割負担,ワリフタン
そりゃあ財政破綻,ソリャアザイセイハタン
日本の医療制度,ニホンノイリョウセイド
過剰福祉,カジョウフクシ
若年層,ジャクネンソウ
入院体験,ニュウインタイケン
抜本的,バッポンテキ
医療費削減,イリョウヒサクゲン
アクセス制限,アクセスセイゲン
職人たち,ショクニンタチ
後継者不足,コウケイシャフソク
isopen,アイエスオープン
badgeon,バッジオン
小保方さん,オボカタサン
一件,イチケン
件以来,ケンイライ
以来地,イライチ
RT世間,アールティーセケン
世間的,セケンテキ
実質AO,ジッシツエーオー
なにいってん,ナニイッテン
現在トップエンド,ゲンザイトップエンド
IntelCPU,インテルシーピーユー
CPUコア,シーピーユーコア
百万,ヒャクマン
万コア,マンコア
コア相当,コアソウトウ
コア辺り,コアアタリ
年千,トシセン
千円,センエン
一般クラウド,イッパンクラウド
千円,センエン
皆様是非,ミナサマゼヒ
年半,ネンハン
半程度,ハンテイド
時期的,ジキテキ
的差,テキサ
コスト的,コストテキ
倍旗色,バイハタイロ
同時アナウンス,ドウジアナウンス
千万,センマン
二機,ニキ
億円,オクエン
円程度,エンテイド
億円,オクエン
メモリ量,メモリリョウ
改革プラン,カイカクプラン
RTこれ,アールティーコレ
政治家,セイジカ
政治家,セイジカ
家生命,カセイメイ
非合理的,ヒゴウリテキ
過剰配分,カジョウハイブン
文科省予算,モンカショウヨサン
財務官僚,ザイムカンリョウ
批判的,ヒハンテキ
的意見,テキイケン
十年,ジュウネン
先手必勝,センテヒッショウ
知性派,チセイハ
getan,ゲットアン
onbig,オンビッグ
thepresence,ザプレゼンス
いま英語,イマエイゴ
事務職員,ジムショクイン
海外拠点,カイガイキョテン
３カ月,サンカゲツ
英語能力,エイゴノウリョク
areother,アレアザー
paperat,ペーパーアット
atTech,アットテック
talkat,トークアット
atthe,アットザ
TokyoTech,トウキョウテック
myfirst,マイファースト
firstSC,ファーストエスシィ
talkat,トークアット
atthe,アットザ
theHP,ザエイチピー
togo,トゥゴー
HPCjust,エイチピーシージャスト
justyet,ジャストイエット
GPUcluster,ジーピーユークラスター
forQCD,フォーキューシーディー
QCDat,キューシーディーエーティー
atvia,エーティービア
atan,アットアン
anend,アンエンド
toreach,トゥリーチ
reachthe c,リーチザシー
IBMto,アイビーエムトゥ
codeis,コードイズ
andSierra,アンドシエラ
製品発表,セイヒンハッピョウ
発表前,ハッピョウマエ
SMPサーバ,エスエムピーサーバ
flatOpenMP,フラットオープンエムピー
驚異的,キョウイテキ
submission,サブスクリプトミッション
mission締切り,ミッションシメキリ
Nowat,ノウアット
atSC,アットエスシィ
submission,サブスクリプトミッション
mission締切り,ミッションシメキリ
現地１,ゲンチイチ
１８,イチハチ
８日,ハチニチ
日本時間１,ニホンジカンイチ
１９,イチキュウ
９日,キュウニチ
発表予定,ハッピョウヨテイ
iscolder,イズコールダー
寒波到来,カンパトウライ
全米ステーキハウス,ゼンベイステーキハウス
ステーキハウスTOP,ステーキハウスティーオーピー
Thetop,ザティーオーピー
onFriday,オンフライデー
登場Athlon,トウジョウアスロン
AthlonMP,アスロンエムピー
サーバー系,サーバーケイ
系CPU,ケイシーピーユー
ConnectX,コネクトエックス
Gb/s,ギガビーエス
HarvardDo,ハーバードドゥー
Donation,ドゥーネーション
nationWill,ネーションウィル
NewComputer,ニューコンピューター
catherineshu,キャサリンシュウ
Justas,ジャストアズ
endto,エンドトゥ
CloudHPC,クラウドエイチピーシー
inthe,インザ
Onemay,ワンメイ
allthe,アルバニアレクザ
thelong tail,ザロングテイル
long tailHPC,ロングテイルエイチピーシー
innovation,インオベーション
ovationis,オベーションイズ
Mostare,モストアレ
areon,アレオン
onbig,オンビッグ
million,メートルイリオン
illionx86,イリオンエックスハチロク
Amazonre:,アマゾンアールイー
toSC,トゥエスシィ
Thesoftware,ザソフトウェア
softwarein,ソフトウェアイン
infra,インエフアールアー
frastructure,エフアールアーストラクチャー
structureis,ストラクチャーアイエス
isimpressive,アイエスインプレッシブ
theHPC,ザエイチピーシー
HPCin,エイチピーシーイン
inthe,インザ
theCloud,ザクラウド
Cloudstory,クラウドストーリィ
storyis,ストーリィイズ
APIto,エーピーアイトゥ
Supercomputer,スーパーコンピューター
スーパーコンピューター,スーパーコンピューター
マルチコア化,マルチコアカ
theplanet,ザプラネット
これアレ,コレアレ
Supermicro,スーパーマイクロ
andAMD,アンドアルメニアドラム
theWorld,ザワールド
国際的,コクサイテキ
大学ランキング,ダイガクランキング
アメリカ型,アメリカガタ
目標設定,モクヒョウセッテイ
HPCvia,エイチピーシービア
極めてまとも,キメテマトモ
大学入試,ダイガクニュウシ
入試制度,ニュウシセイド
手間暇,テマヒマ
米国エリート,ベイコクエリート
エリート校,エリートコウ
財務官僚,ザイムカンリョウ
東大法,トウダイホウ
法卒,ホウソツ
TrinityNYC,トリニティエヌワイシー
GetsNew Look,ゲッツニュールック
New Lookand,ニュールックアンド
社会格差,シャカイカクサ
絶望感,ゼツボウカン
柔軟性,ジュウナンセイ
社会的,シャカイテキ
松岡先生,マツオカセンセイ
